"id","pred"
"2013_1103_1107","0.789981961250305"
"2013_1103_1112","0.101559966802597"
"2013_1103_1125","0.319265872240067"
"2013_1103_1129","0.340563505887985"
"2013_1103_1137","0.445676356554031"
"2013_1103_1139","0.383864909410477"
"2013_1103_1143","0.470949977636337"
"2013_1103_1153","0.321835398674011"
"2013_1103_1160","0.315398305654526"
"2013_1103_1161","0.216806799173355"
"2013_1103_1166","0.111777573823929"
"2013_1103_1172","0.407301217317581"
"2013_1103_1181","0.0768876671791077"
"2013_1103_1195","0.639329433441162"
"2013_1103_1196","0.01495011895895"
"2013_1103_1207","0.243261188268661"
"2013_1103_1211","0.0805321261286736"
"2013_1103_1217","0.55774986743927"
"2013_1103_1228","0.208602383732796"
"2013_1103_1231","0.0421852357685566"
"2013_1103_1233","0.375135779380798"
"2013_1103_1235","0.168439358472824"
"2013_1103_1241","0.811381161212921"
"2013_1103_1242","0.103842355310917"
"2013_1103_1243","0.329205572605133"
"2013_1103_1247","0.367111891508102"
"2013_1103_1251","0.897847771644592"
"2013_1103_1254","0.868728399276733"
"2013_1103_1257","0.0224892217665911"
"2013_1103_1266","0.215584620833397"
"2013_1103_1272","0.271366745233536"
"2013_1103_1274","0.113810427486897"
"2013_1103_1276","0.041000422090292"
"2013_1103_1277","0.0837153270840645"
"2013_1103_1278","0.154684662818909"
"2013_1103_1279","0.157366678118706"
"2013_1103_1281","0.115600988268852"
"2013_1103_1285","0.809778988361359"
"2013_1103_1292","0.316249847412109"
"2013_1103_1299","0.913364171981812"
"2013_1103_1301","0.294800788164139"
"2013_1103_1307","0.175667479634285"
"2013_1103_1308","0.643693685531616"
"2013_1103_1314","0.340415745973587"
"2013_1103_1322","0.698180198669434"
"2013_1103_1323","0.264911979436874"
"2013_1103_1326","0.10005859285593"
"2013_1103_1328","0.378222793340683"
"2013_1103_1329","0.205462038516998"
"2013_1103_1332","0.251145660877228"
"2013_1103_1334","0.592617154121399"
"2013_1103_1338","0.0999278426170349"
"2013_1103_1355","0.635865449905396"
"2013_1103_1361","0.232129454612732"
"2013_1103_1380","0.779262661933899"
"2013_1103_1387","0.103810779750347"
"2013_1103_1388","0.107908517122269"
"2013_1103_1393","0.0949542075395584"
"2013_1103_1396","0.295031994581223"
"2013_1103_1417","0.315769851207733"
"2013_1103_1424","0.295194178819656"
"2013_1103_1433","0.130756244063377"
"2013_1103_1434","0.470324277877808"
"2013_1103_1437","0.42952361702919"
"2013_1103_1443","0.794596552848816"
"2013_1103_1455","0.118590444326401"
"2013_1103_1458","0.0859223902225494"
"2013_1107_1112","0.00835659261792898"
"2013_1107_1125","0.110176526010036"
"2013_1107_1129","0.143296733498573"
"2013_1107_1137","0.165120288729668"
"2013_1107_1139","0.07742840051651"
"2013_1107_1143","0.105900466442108"
"2013_1107_1153","0.099718764424324"
"2013_1107_1160","0.0810360088944435"
"2013_1107_1161","0.0339157395064831"
"2013_1107_1166","0.00966471992433071"
"2013_1107_1172","0.133862316608429"
"2013_1107_1181","0.00484071671962738"
"2013_1107_1195","0.401341319084167"
"2013_1107_1196","0.00484071671962738"
"2013_1107_1207","0.0125529738143086"
"2013_1107_1211","0.00641099130734801"
"2013_1107_1217","0.221672222018242"
