"id","pred"
"2017_1112_1116","0.697992205619812"
"2017_1112_1124","0.532989978790283"
"2017_1112_1137","0.924915373325348"
"2017_1112_1139","0.566613972187042"
"2017_1112_1153","0.536873042583466"
"2017_1112_1166","0.740716993808746"
"2017_1112_1173","0.847766935825348"
"2017_1112_1181","0.337444216012955"
"2017_1112_1190","0.928155064582825"
"2017_1112_1195","0.980266630649567"
"2017_1112_1196","0.424095571041107"
"2017_1112_1199","0.457505881786346"
"2017_1112_1211","0.19299627840519"
"2017_1112_1233","0.946193158626556"
"2017_1112_1235","0.436755388975143"
"2017_1112_1240","0.995301008224487"
"2017_1112_1242","0.456342667341232"
"2017_1112_1243","0.761600255966187"
"2017_1112_1245","0.994159817695618"
"2017_1112_1246","0.301396608352661"
"2017_1112_1257","0.306685090065002"
"2017_1112_1266","0.769189774990082"
"2017_1112_1268","0.737761557102203"
"2017_1112_1274","0.768815815448761"
"2017_1112_1276","0.460804581642151"
"2017_1112_1277","0.756298899650574"
"2017_1112_1278","0.686908483505249"
"2017_1112_1291","0.995415210723877"
"2017_1112_1292","0.839884638786316"
"2017_1112_1297","0.99251526594162"
"2017_1112_1300","0.994159817695618"
"2017_1112_1305","0.774633169174194"
"2017_1112_1308","0.932246446609497"
"2017_1112_1309","0.994641542434692"
"2017_1112_1314","0.272022575139999"
"2017_1112_1315","0.995415210723877"
"2017_1112_1321","0.773440778255463"
"2017_1112_1323","0.494348526000977"
"2017_1112_1329","0.564378619194031"
"2017_1112_1332","0.473546594381332"
"2017_1112_1343","0.864309370517731"
"2017_1112_1344","0.857459962368011"
"2017_1112_1345","0.52607798576355"
"2017_1112_1348","0.73213142156601"
"2017_1112_1355","0.993854641914368"
"2017_1112_1371","0.865667819976807"
"2017_1112_1374","0.438388049602509"
"2017_1112_1376","0.715811610221863"
"2017_1112_1388","0.433013558387756"
"2017_1112_1407","0.989273250102997"
"2017_1112_1411","0.990496516227722"
"2017_1112_1413","0.995415210723877"
"2017_1112_1417","0.505622684955597"
"2017_1112_1423","0.79499226808548"
"2017_1112_1425","0.850096344947815"
"2017_1112_1433","0.823412418365479"
"2017_1112_1435","0.698523879051208"
"2017_1112_1436","0.882609665393829"
"2017_1112_1437","0.251107484102249"
"2017_1112_1438","0.302994519472122"
"2017_1112_1439","0.707478165626526"
"2017_1112_1448","0.719510912895203"
"2017_1112_1452","0.477286487817764"
"2017_1112_1455","0.333454430103302"
"2017_1112_1457","0.980266630649567"
"2017_1112_1458","0.544292032718658"
"2017_1112_1462","0.820405423641205"
"2017_1116_1124","0.287743389606476"
"2017_1116_1137","0.871551632881165"
"2017_1116_1139","0.337444216012955"
"2017_1116_1153","0.26554274559021"
"2017_1116_1166","0.403032839298248"
"2017_1116_1173","0.535139679908752"
"2017_1116_1181","0.175581395626068"
"2017_1116_1190","0.760706007480621"
"2017_1116_1195","0.897354662418365"
"2017_1116_1196","0.22941429913044"
"2017_1116_1199","0.293833553791046"
"2017_1116_1211","0.0374336615204811"
"2017_1116_1233","0.829791009426117"
"2017_1116_1235","0.129329413175583"
"2017_1116_1240","0.937462031841278"
"2017_1116_1242","0.175285309553146"
"2017_1116_1243","0.510122060775757"
"2017_1116_1245","0.911885023117065"
"2017_1116_1246","0.169189184904099"
"2017_1116_1257","0.146582663059235"
"2017_1116_1266","0.465016514062881"
"2017_1116_1268","0.536902964115143"
"2017_1116_1274","0.643330037593842"
"2017_1116_1276","0.243831858038902"
"2017_1116_1277","0.60742723941803"
"2017_1116_1278","0.370255440473557"
"2017_1116_1291","0.992737472057343"
"2017_1116_1292","0.645195603370667"
"2017_1116_1297","0.907511532306671"
"2017_1116_1300","0.951925218105316"
"2017_1116_1305","0.514403998851776"
"2017_1116_1308","0.843799471855164"
"2017_1116_1309","0.974254369735718"
"2017_1116_1314","0.1685960739851"
"2017_1116_1315","0.980291366577148"
"2017_1116_1321","0.54585862159729"
"2017_1116_1323","0.349429130554199"
"2017_1116_1329","0.292963564395905"
"2017_1116_1332","0.26899591088295"
"2017_1116_1343","0.66659539937973"
"2017_1116_1344","0.657712340354919"
"2017_1116_1345","0.265867322683334"
"2017_1116_1348","0.570151329040527"
"2017_1116_1355","0.916105449199677"
"2017_1116_1371","0.655995607376099"
"2017_1116_1374","0.251267224550247"
"2017_1116_1376","0.659688889980316"
"2017_1116_1388","0.275652855634689"
"2017_1116_1407","0.88652902841568"
"2017_1116_1411","0.949807524681091"
"2017_1116_1413","0.994769632816315"
"2017_1116_1417","0.294142544269562"
"2017_1116_1423","0.619468450546265"
"2017_1116_1425","0.574329137802124"
"2017_1116_1433","0.61460155248642"
"2017_1116_1435","0.570352971553802"
"2017_1116_1436","0.785229384899139"
"2017_1116_1437","0.106596425175667"
"2017_1116_1438","0.0833267942070961"
"2017_1116_1439","0.575316965579987"
"2017_1116_1448","0.529622495174408"
"2017_1116_1452","0.218243926763535"
"2017_1116_1455","0.116924360394478"
"2017_1116_1457","0.893801331520081"
"2017_1116_1458","0.283939272165298"
"2017_1116_1462","0.575316965579987"
"2017_1124_1137","0.904461264610291"
"2017_1124_1139","0.524997234344482"
"2017_1124_1153","0.550300300121307"
"2017_1124_1166","0.652790665626526"
"2017_1124_1173","0.725909173488617"
"2017_1124_1181","0.38734170794487"
"2017_1124_1190","0.884347379207611"
"2017_1124_1195","0.9461869597435"
"2017_1124_1196","0.390459358692169"
"2017_1124_1199","0.440784841775894"
"2017_1124_1211","0.238401591777802"
"2017_1124_1233","0.971849203109741"
"2017_1124_1235","0.524928033351898"
"2017_1124_1240","0.99519157409668"
"2017_1124_1242","0.442254036664963"
"2017_1124_1243","0.63787454366684"
"2017_1124_1245","0.989433467388153"
"2017_1124_1246","0.315876364707947"
"2017_1124_1257","0.395810633897781"
"2017_1124_1266","0.711505115032196"
"2017_1124_1268","0.770228207111359"
"2017_1124_1274","0.849149107933044"
"2017_1124_1276","0.524017810821533"
"2017_1124_1277","0.771024405956268"
"2017_1124_1278","0.708692073822021"
"2017_1124_1291","0.995301008224487"
"2017_1124_1292","0.776974856853485"
"2017_1124_1297","0.974309504032135"
"2017_1124_1300","0.975153625011444"
"2017_1124_1305","0.715154409408569"
"2017_1124_1308","0.880843102931976"
"2017_1124_1309","0.993499159812927"
"2017_1124_1314","0.34473443031311"
"2017_1124_1315","0.962172091007233"
"2017_1124_1321","0.804262101650238"
"2017_1124_1323","0.592618882656097"
"2017_1124_1329","0.481542646884918"
"2017_1124_1332","0.513892948627472"
"2017_1124_1343","0.89284336566925"
"2017_1124_1344","0.80971747636795"
"2017_1124_1345","0.40820437669754"
"2017_1124_1348","0.766401290893555"
"2017_1124_1355","0.992503643035889"
"2017_1124_1371","0.829356849193573"
"2017_1124_1374","0.358892500400543"
"2017_1124_1376","0.740264415740967"
"2017_1124_1388","0.509099245071411"
"2017_1124_1407","0.982285022735596"
"2017_1124_1411","0.977287650108337"
"2017_1124_1413","0.993835985660553"
"2017_1124_1417","0.445153594017029"
"2017_1124_1423","0.774633169174194"
"2017_1124_1425","0.738405466079712"
"2017_1124_1433","0.822021424770355"
"2017_1124_1435","0.687609016895294"
"2017_1124_1436","0.830392360687256"
"2017_1124_1437","0.26454496383667"
"2017_1124_1438","0.511188745498657"
"2017_1124_1439","0.726813852787018"
"2017_1124_1448","0.58708256483078"
"2017_1124_1452","0.318923324346542"
"2017_1124_1455","0.408590883016586"
"2017_1124_1457","0.923284351825714"
"2017_1124_1458","0.53223317861557"
"2017_1124_1462","0.708327353000641"
"2017_1137_1139","0.115952014923096"
"2017_1137_1153","0.0895556136965752"
"2017_1137_1166","0.0668502822518349"
"2017_1137_1173","0.209534078836441"
"2017_1137_1181","0.0135248629376292"
"2017_1137_1190","0.374805718660355"
"2017_1137_1195","0.64957332611084"
"2017_1137_1196","0.0165521521121264"
"2017_1137_1199","0.0402356125414371"
"2017_1137_1211","0.00778088998049498"
"2017_1137_1233","0.649267911911011"
"2017_1137_1235","0.0705073475837708"
"2017_1137_1240","0.818070530891418"
"2017_1137_1242","0.0106696151196957"
"2017_1137_1243","0.181674912571907"
"2017_1137_1245","0.604261696338654"
"2017_1137_1246","0.00882940553128719"
"2017_1137_1257","0.0257841683924198"
"2017_1137_1266","0.119414858520031"
"2017_1137_1268","0.163062423467636"
"2017_1137_1274","0.114983737468719"
"2017_1137_1276","0.0622447244822979"
"2017_1137_1277","0.25334358215332"
"2017_1137_1278","0.152731001377106"
"2017_1137_1291","0.906622171401978"
"2017_1137_1292","0.265564888715744"
"2017_1137_1297","0.711834192276001"
"2017_1137_1300","0.829461693763733"
"2017_1137_1305","0.237741500139236"
"2017_1137_1308","0.499921798706055"
"2017_1137_1309","0.812677919864655"
"2017_1137_1314","0.00771913258358836"
"2017_1137_1315","0.831054925918579"
"2017_1137_1321","0.194455415010452"
"2017_1137_1323","0.0705230683088303"
"2017_1137_1329","0.0973246693611145"
"2017_1137_1332","0.0974270775914192"
"2017_1137_1343","0.413749575614929"
